"user_id","sum_canc_page_clicks","sum_page_clicks","number_sessions","canc_number_session","avg_session_duration","avg_canc_session_duration","avg_days_to_cancellation","segment_cancellation","segment_travel_party","gender","home_country","home_city","home_airport","married","has_children","age","segment_age_group","segment_family","avg_nights_new","avg_rooms","avg_checked_bags","number_trips","segment_travel_frequency","avg_duration_stay","avg_distance_miles","segment_flight_distance","cost_hotel","cost_flight","total_costs","segment_spend","avg_days_to_travel","segment_booking_time","customer_group","assigned_perk"
"23557","","82","8","0","0.875","","","No Cancellation/nothing booked","Solo and group traveler","F","usa","new york","LGA","true","false","64","55-64","married, no children","10.0000000000000000","1.5000000000000000","","2","Casual Traveler","240.0000000000000000","","Unknown","3670.50","0","3670.50","","12","Early Booker","Business Traveler","No Cancellation Fees"
"94883","","73","8","0","0.625","","","No Cancellation/nothing booked","Solo and group traveler","F","usa","kansas city","MCI","true","false","51","45-54","married, no children","0.50000000000000000000","1.5000000000000000","0.50000000000000000000","2","Casual Traveler","36.0000000000000000","901.8177311336806","Medium-Haul Flyer (500-2000 miles)","230","1487.26","1717.26","","6.5","Last Minute Booker","Business Traveler","No Cancellation Fees"
"101486","","131","8","0","1.375","","","No Cancellation/nothing booked","Solo and group traveler","F","usa","tacoma","TCM","true","true","50","45-54","married, children","4.0000000000000000","1.5000000000000000","0.00000000000000000000","2","Casual Traveler","96.0000000000000000","618.6876713385835","Medium-Haul Flyer (500-2000 miles)","2452","189.91","2641.91","","9","Early Booker","Family Traveler","Free Hotel Meal"
"101961","","126","8","0","1.75","","","No Cancellation/nothing booked","Solo traveler","F","usa","boston","BOS","true","false","42","35-44","married, no children","3.8000000000000000","1.00000000000000000000","0.40000000000000000000","5","Frequent Traveler","115.2000000000000000","849.146406157518","Medium-Haul Flyer (500-2000 miles)","2798","1237.693","4035.693","","5.6","Last Minute Booker","Spontaneous Globetrotter","No Cancellation Fees"
"106907","162","240","8","1","4.625","21","25.5","Moderate Cancellers (8-30 days)","Family/Group traveler","F","usa","miami","TNT","true","true","44","35-44","married, children","","","","","","","","","","","","","","","Other","Exclusive Discounts"
"118043","","164","8","0","2","","","No Cancellation/nothing booked","Solo and group traveler","F","usa","los angeles","LAX","false","true","51","45-54","not married, children","5.5000000000000000","1.2500000000000000","1.00000000000000000000","5","Frequent Traveler","112.0000000000000000","1556.6369846155924","Medium-Haul Flyer (500-2000 miles)","6443.45","5126.56","11570.01","High Spender","8.666666666666666","Early Booker","Jet Sprint Nomad","Exclusive Discounts"
"120851","","55","8","0","0.5","","","No Cancellation/nothing booked","Solo traveler","F","usa","santa ana","SNA","true","true","50","45-54","married, children","11.0000000000000000","1.00000000000000000000","0.00000000000000000000","1","Low Freqent Traveler","288.0000000000000000","1404.1721155135228","Medium-Haul Flyer (500-2000 miles)","2002","384.68","2386.68","","7","Last Minute Booker","Occasional Traveler","1 Night free Hotel with Flight"
"125845","","159","9","0","1.6666666666666667","","","No Cancellation/nothing booked","Solo and group traveler","F","usa","el paso","BIF","true","false","39","35-44","married, no children","1.6666666666666667","1.3333333333333333","0.66666666666666666667","3","Casual Traveler","80.0000000000000000","1778.0650025323437","Medium-Haul Flyer (500-2000 miles)","864","2250.5860","3114.5860","","8.333333333333334","Early Booker","Business Traveler","No Cancellation Fees"
"133058","","73","8","0","0.625","","","No Cancellation/nothing booked","Solo traveler","F","usa","austin","AUS","false","false","18","16-24","not married, no children","","","0.00000000000000000000","1","Low Freqent Traveler","96.0000000000000000","1794.0090014496252","Medium-Haul Flyer (500-2000 miles)","0","423.51","423.51","","6","Last Minute Booker","Occasional Traveler","1 Night free Hotel with Flight"
"149058","","142","8","0","1.75","","","No Cancellation/nothing booked","Solo and group traveler","F","usa","birmingham","BHM","false","true","50","45-54","not married, children","5.0000000000000000","1.2000000000000000","0.40000000000000000000","5","Frequent Traveler","158.4000000000000000","1217.8076441342123","Medium-Haul Flyer (500-2000 miles)","6274","2413.2925","8687.2925","High Spender","5.8","Last Minute Booker","Spontaneous Globetrotter","No Cancellation Fees"
